wavelength,intensity1,intensity2,intensity3
449.773,3313.075,3401.408,3431.354
449.947,3254.031,3264.186,3386.199
450.12,3194.605,3169.584,3295.72
450.294,3339.593,3332.837,3377.405
450.468,3035.98,3094.896,3026.809
450.641,3111.747,3142.309,3068.075
450.815,3189.152,3200.216,3299.119
450.989,3151.824,3286.631,3206.807
451.162,3235.861,3109.377,3075.175
451.336,3004.044,2972.941,2922.306
451.51,3090.228,2948.429,2970.435
451.683,2946.724,2877.349,2835.089
451.857,3033.106,3032.337,3059.329
452.031,2795.918,2993.67,2935.173
452.204,2964.386,2970.133,2844.893
452.378,2706.556,2672.249,2847.587
452.552,2817.387,2752.068,2862.087
452.725,2628.027,2612.069,2601.452
452.899,2612.021,2617.502,2599.358
453.073,2773.26,2607.72,2728.999
453.246,2562.122,2665.297,2659.406
453.42,2526.706,2534.398,2564.356
453.594,2390.043,2472.018,2462.383
453.768,2483.091,2498.597,2439.742
453.941,2358.795,2429.716,2452.439
454.115,2358.255,2397.484,2429.626
454.289,2336.27,2199.636,2306.342
454.462,2200.472,2106.744,2253.949
454.636,2213.493,2276.682,2270.955
454.81,2212.908,2258.036,2090.855
454.983,2244.033,2075.473,2129.56
455.157,2162.081,2030.906,1991.145
455.331,2002.907,2027.83,1954.721
455.504,2008.78,1995.427,1920.599
455.678,2013.661,2050.024,2081.287
455.851,1920.48,1964.265,1978.196
456.025,1861.436,1933.9,1896.115
456.199,1916.461,1915.75,1965.116
456.372,1791.661,1835.046,1832.151
456.546,1895.713,1928.898,1976.123
456.72,1851.755,1795.485,1842.128
456.893,1760.628,1732.8,1731.256
457.067,1822.065,1804.62,1856.638
457.241,1810.836,1754.075,1738.317
457.414,1771.83,1863.495,1815.432
457.588,1687.665,1709.64,1701.415
457.762,1638.703,1671.145,1608.582
457.935,1784.186,1704.002,1775.847
458.109,1667.66,1659.626,1664.739
458.283,1734.294,1582.034,1665.088
458.456,1669.434,1677.499,1676.599
458.63,1644.324,1598.545,1615.319
458.804,1685,1652.095,1681.391
458.977,1548.357,1557.963,1560.318
459.151,1529.565,1558.375,1569.696
459.325,1550.378,1583.702,1516.78
459.498,1562.531,1635.23,1514.882
459.672,1558.943,1565.883,1512.458
459.845,1558.644,1605.935,1612.849
460.019,1601.257,1480.493,1504.428
460.193,1683.224,1585.043,1610.489
460.366,1623.272,1523.383,1567.694
460.54,1544.154,1518.638,1514.603
460.714,1534.32,1507.415,1476.58
460.887,1516.906,1528.138,1510.414
461.061,1526.697,1533.425,1508.653
461.235,1526.372,1536.996,1539.92
461.408,1535.372,1546.501,1457.037
461.582,1430.322,1438.872,1510.965
461.755,1526.518,1473.485,1527.529
461.929,1481.658,1508.429,1529.274
462.103,1499.653,1472.866,1518.708
462.276,1457.32,1478.766,1515.189
462.45,1517.256,1412.112,1478.066
462.624,1533.552,1483.954,1501.764
462.797,1441.292,1490.347,1512.161
462.971,1352.309,1413.155,1446.769
463.144,1411.619,1467.322,1487.55
463.318,1486.768,1450.428,1434.836
463.492,1444.039,1419.606,1445.638
463.665,1327.001,1427.434,1441.756
463.839,1304.445,1306.219,1382.862
464.013,1402.197,1405.158,1405.556
464.186,1467.035,1353.469,1373.115
464.36,1399.293,1325.669,1363.807
464.533,1363.73,1410.539,1439.057
464.707,1384.728,1322.454,1321.64
464.881,1370.389,1355.011,1372.612
465.054,1298.101,1395.709,1237.001
465.228,1339.21,1278.432,1329.96
465.401,1330.121,1321.146,1372.842
465.575,1244.134,1244.107,1253.972
465.749,1216.247,1264.26,1257.454
465.922,1199.623,1202.555,1136.664
466.096,1213.665,1235.852,1281.282
466.27,1192.277,1234.668,1255.09
466.443,1192.438,1071.482,1217.921
466.617,1199.767,1192.681,1196.014
466.79,1165.644,1121.751,1113.847
466.964,1139.526,1192.587,1212.446
467.138,1119.046,1136.781,1115.391
467.311,1086.128,1173.946,1145.64
467.485,1095.735,1074.713,1084.738
467.658,1047.676,1056.777,1075.982
467.832,1099.182,1034.548,1110.206
468.006,1003.088,993.651,1047.167
468.179,1073.623,1024.119,964.011
468.353,1031.581,1005.028,1044.912
468.526,1004.848,990.121,1026.685
468.7,964.243,954.257,942.451
468.874,993.958,988.319,997.674
469.047,928.826,948.768,889.79
469.221,959.937,919.431,938.921
469.394,919.378,955.644,939.824
469.568,882.244,826.686,860.26
469.742,914.54,976.63,917.63
469.915,851.862,882.761,841.348
470.089,887.575,851.624,879.748
470.262,864.217,822.733,817.707
470.436,771.107,836.931,813.196
470.609,832.651,766.758,771.935
470.783,755.542,830.976,809.236
470.957,758.098,766.513,707.789
471.13,771.386,739.076,763.649
471.304,765.924,814.175,726.466
471.477,836.333,828.864,827.09
471.651,750.585,776.573,799.154
471.825,779.529,791.608,725.659
471.998,725.466,767.304,707.779
472.172,721.893,760.628,730.718
472.345,714.465,722.838,732.109
472.519,676.298,725.406,699.343
472.692,723.794,728.526,764.816
472.866,742.206,713.732,693.385
473.04,686.084,706.446,705.749
473.213,648.942,732.261,652.838
473.387,734.567,680.654,689.374
473.56,701.432,733.229,725.23
473.734,682.824,675.115,659.06
473.907,658.646,669.208,702.812
474.081,659.113,691.877,710.96
474.255,651.91,629.74,667.322
474.428,629.47,649.009,641.63
474.602,691.931,639.413,648.075
474.775,608.323,632.573,643.024
474.949,649.881,605.058,632.379
475.122,631.571,647.536,657.163
475.296,670.815,597.078,623.014
475.47,633.297,611.509,635.13
475.643,638.144,624.812,628.736
475.817,678.364,641.011,654.968
475.99,591.1,637.323,616.545
476.164,615.068,608.102,647.115
476.337,608.153,588.278,576.697
476.511,645.475,608.066,611.838
476.684,620.933,648.083,622.721
476.858,630.585,651.043,579.943
477.032,635.814,626.343,645.571
477.205,610.485,627.821,632.964
477.379,634.873,599.467,582.102
477.552,689.437,655.76,658.524
477.726,635.148,600.93,677.95
477.899,605.99,574.464,613.187
478.073,621.734,634.473,638.727
478.246,630.596,571.909,664.143
478.42,625.034,626.467,607.879
478.594,536.782,590.968,595.089
478.767,610.894,638.822,625.419
478.941,629.922,608.942,612.117
479.114,654.659,655.112,668.74
479.288,608.001,620.522,653.65
479.461,649.207,593.961,666.946
479.635,651.872,653.265,661.123
479.808,638.806,614.93,608.694
479.982,604.851,648.222,662.845
480.155,628.235,625.846,620.005
480.329,599.405,602.719,616.381
480.503,644.99,641.232,574.762
480.676,604.851,611.429,602.315
480.85,632.267,573.327,610.406
481.023,593.952,614.085,584.4
481.197,594.967,591.271,614.087
481.37,653.371,635.124,649.922
481.544,566.087,542.055,592.232
481.717,622.893,646.402,610.478
481.891,649.464,693.645,700.071
482.064,640.735,645.773,618.485
482.238,574.705,618.078,594.63
482.411,598.121,582.018,637.002
482.585,627.866,579.577,655.926
482.758,591.14,662.754,639.933
482.932,609.376,627.101,576.44
483.106,615.225,610.25,592.533
483.279,623.903,646.694,603.606
483.453,614.846,595.403,633.218
