lambda,T_skim_2ml,T_half_full,T_full
520.579,83.008,0,0
520.751,83.075,0,0
520.923,83.044,0,0
521.095,83.088,0,0
521.267,83.054,0,0
521.439,82.974,0,0
521.61,82.998,0,0
521.782,82.954,0,0
521.954,82.905,0,0
522.126,82.909,0,0
522.298,82.863,0,0
522.47,82.875,0,0
522.642,82.875,0,0
522.814,82.874,0,0
522.985,82.96,0,0
523.157,83.02,0,0
523.329,83.138,0,0
523.501,83.262,0,0
523.673,83.359,0,0
523.845,83.505,0,0
524.017,83.71,0,0
524.189,83.804,0,0
524.361,83.739,0,0
524.532,83.733,0,0
524.704,83.713,0,0
524.876,83.687,0,0
525.048,83.648,0,0
525.22,83.689,0,0
525.392,83.629,0,0
525.564,83.64,0,0
525.736,83.609,0,0
525.908,83.554,0,0
526.08,83.594,0,0
526.251,83.611,0,0
526.423,83.566,0,0
526.595,83.577,0,0
526.767,83.458,0,0
526.939,83.502,0,0
527.111,83.654,0,0
527.283,83.722,0,0
527.455,83.884,0,0
527.627,84.042,0,0
527.799,84.321,0,0
527.971,84.512,0,0
528.143,84.628,0,0
528.314,84.635,0,0
528.486,84.543,0,0
528.658,84.672,0,0
528.83,84.705,0,0
529.002,84.819,0,0
529.174,84.921,0,0
529.346,84.961,0,0
529.518,84.965,0,0
529.69,85.096,0,0
529.862,85.291,0,0
530.034,85.395,0,0
530.206,85.443,0,0
530.378,85.443,0,0
530.55,85.33,0,0
530.722,85.253,0,0
530.894,85.082,0,0
531.066,85.225,0,0
531.238,85.21,0,0
531.41,85.214,0,0
531.581,85.27,0,0
531.753,85.267,0,0
531.925,85.343,0,0
532.097,85.337,0,0
532.269,85.329,0,0
532.441,85.266,0,0
532.613,85.248,0,0
532.785,85.28,0,0
532.957,85.285,0,0
533.129,85.33,0,0
533.301,85.268,0,0
533.473,85.209,0,0
533.645,85.253,0,0
533.817,85.341,0,0
533.989,85.496,0,0
534.161,85.425,0,0
534.333,85.485,0,0
534.505,85.423,0,0
534.677,85.429,0,0
534.849,85.402,0,0
535.021,85.421,0,0
535.193,85.533,0,0
535.365,85.512,0,0
535.537,85.599,0,0
535.709,85.643,0,0
535.881,85.733,0,0
536.053,85.852,0,0
536.225,85.876,0,0
536.397,85.946,0,0
536.569,85.967,0,0
536.741,86.035,0,0
536.913,86.05,0,0
537.085,86.149,0,0
537.257,86.122,0,0
537.429,86.12,0,0
537.601,86.215,0,0
537.773,86.27,0,0
537.945,86.327,0,0
538.117,86.439,0,0
538.289,86.429,0,0
538.461,86.497,0,0
538.633,86.498,0,0
538.805,86.646,0,0
538.977,86.648,0,0
539.149,86.682,0,0
539.321,86.708,0,0
539.493,86.738,0,0
539.665,86.777,0,0
539.838,86.824,0,0
540.01,86.906,0,0
540.182,86.873,0,0
540.354,86.893,0,0
540.526,86.869,0,0
540.698,86.849,0,0
540.87,86.844,0,0
541.042,86.839,0,0
541.214,86.801,0,0
541.386,86.786,0,0
541.558,86.751,0,0
541.73,86.701,0,0
541.902,86.674,0,0
542.074,86.655,0,0
542.246,86.684,0,0
542.418,86.765,0,0
